R,G,B,BL,ambient,LUX
0,0,0,255,282,254
4,8,0,255,282,254
8,16,0,255,282,254
12,24,0,255,282,254
16,32,0,255,282,254
20,40,0,255,282,254
24,48,0,255,282,260
28,56,0,255,282,260
32,64,0,255,282,260
36,72,0,255,282,267
40,80,0,255,282,267
44,88,0,255,282,275
48,96,0,255,282,275
52,104,0,255,282,284
56,112,0,255,282,284
60,120,0,255,282,290
64,128,0,255,282,300
68,136,0,255,282,309
72,144,0,255,282,316
76,152,0,255,282,332
80,160,0,255,282,344
84,168,0,255,282,357
88,176,0,255,282,370
92,184,0,255,282,380
96,192,0,255,282,395
100,200,0,255,282,412
104,208,0,255,282,435
108,216,0,255,282,456
112,224,0,255,282,478
116,232,0,255,282,502
120,240,0,255,282,528
124,248,0,255,282,554
128,255,0,255,282,578
132,255,0,255,282,578
136,255,0,255,282,578
140,255,0,255,282,578
144,255,0,255,282,578
148,255,0,255,282,578
152,255,0,255,282,578
156,255,0,255,282,590
160,255,0,255,282,590
164,255,0,255,282,590
168,255,0,255,282,590
172,255,0,255,282,590
176,255,0,255,282,590
180,255,0,255,282,590
184,255,0,255,282,590
188,255,0,255,282,603
192,255,0,255,282,603
196,255,0,255,282,603
200,255,0,255,282,603
204,255,0,255,282,603
208,255,0,255,282,603
212,255,0,255,282,603
216,255,0,255,282,615
220,255,0,255,282,615
224,255,0,255,282,615
228,255,0,255,282,615
232,255,0,255,282,615
236,255,0,255,282,628
240,255,0,255,282,628
244,255,0,255,282,628
248,255,0,255,282,628
252,255,0,255,282,628
