R,G,B,BL,Ambient,LUX
0,0,0,255,285,266
8,4,0,255,285,266
16,8,0,255,285,266
24,12,0,255,285,266
32,16,0,255,285,266
40,20,0,255,285,266
48,24,0,255,285,266
56,28,0,255,285,266
64,32,0,255,285,266
72,36,0,255,285,266
80,40,0,255,285,272
88,44,0,255,285,272
96,48,0,255,285,272
104,52,0,255,285,280
112,56,0,255,285,280
120,60,0,255,285,280
128,64,0,255,285,286
136,68,0,255,285,286
144,72,0,255,285,293
152,76,0,255,285,293
160,80,0,255,285,302
168,84,0,255,285,302
176,88,0,255,285,314
184,92,0,255,285,314
192,96,0,255,285,322
200,100,0,255,285,328
208,104,0,255,285,338
216,108,0,255,285,345
224,112,0,255,285,352
232,116,0,255,285,361
240,120,0,255,285,371
248,124,0,255,285,380
255,128,0,255,285,380
255,132,0,255,285,389
255,136,0,255,285,389
255,140,0,255,285,399
255,144,0,255,285,399
255,148,0,255,285,411
255,152,0,255,285,411
255,156,0,255,285,419
255,160,0,255,285,419
255,164,0,255,285,428
255,168,0,255,285,428
255,172,0,255,285,438
255,176,0,255,285,448
255,180,0,255,285,448
255,184,0,255,285,462
255,188,0,255,285,462
255,192,0,255,285,477
255,196,0,255,285,477
255,200,0,255,285,488
255,204,0,255,285,501
255,208,0,255,285,512
255,212,0,255,285,512
255,216,0,255,285,530
255,220,0,255,285,542
255,224,0,255,285,542
255,228,0,255,285,553
255,232,0,255,285,570
255,236,0,255,285,587
255,240,0,255,285,599
255,244,0,255,285,612
255,248,0,255,285,625
255,252,0,255,285,640
