R,G,B,BL,ambient,LUX
0,0,0,255,282,254
4,8,0,255,282,254
8,16,0,255,282,254
12,24,0,255,282,254
16,32,0,255,282,254
20,40,0,255,282,254
24,48,0,255,282,260
28,56,0,255,282,260
32,64,0,255,282,260
36,72,0,255,282,267
40,80,0,255,282,267
44,88,0,255,282,275
48,96,0,255,282,275
52,104,0,255,282,284
56,112,0,255,282,284
60,120,0,255,282,290
64,128,0,255,282,300
68,136,0,255,282,309
72,144,0,255,282,316
76,152,0,255,282,332
80,160,0,255,282,344
84,168,0,255,282,357
88,176,0,255,282,370
92,184,0,255,282,380
96,192,0,255,282,395
100,200,0,255,282,412
104,208,0,255,282,435
108,216,0,255,282,456
112,224,0,255,282,478
116,232,0,255,282,502
120,240,0,255,282,528
124,248,0,255,282,554
128,255,0,255,282,578
132,255,0,255,282,578
136,255,0,255,282,578
140,255,0,255,282,578
144,255,0,255,282,578
148,255,0,255,282,578
152,255,0,255,282,578
156,255,0,255,282,590
160,255,0,255,282,590
164,255,0,255,282,590
168,255,0,255,282,590
172,255,0,255,282,590
176,255,0,255,282,590
180,255,0,255,282,590
184,255,0,255,282,590
188,255,0,255,282,603
192,255,0,255,282,603
196,255,0,255,282,603
200,255,0,255,282,603
204,255,0,255,282,603
208,255,0,255,282,603
212,255,0,255,282,603
216,255,0,255,282,615
220,255,0,255,282,615
224,255,0,255,282,615
228,255,0,255,282,615
232,255,0,255,282,615
236,255,0,255,282,628
240,255,0,255,282,628
244,255,0,255,282,628
248,255,0,255,282,628
252,255,0,255,282,628
R,G,B,BL,Ambient,LUX
0,0,0,255,285,266
8,4,0,255,285,266
16,8,0,255,285,266
24,12,0,255,285,266
32,16,0,255,285,266
40,20,0,255,285,266
48,24,0,255,285,266
56,28,0,255,285,266
64,32,0,255,285,266
72,36,0,255,285,266
80,40,0,255,285,272
88,44,0,255,285,272
96,48,0,255,285,272
104,52,0,255,285,280
112,56,0,255,285,280
120,60,0,255,285,280
128,64,0,255,285,286
136,68,0,255,285,286
144,72,0,255,285,293
152,76,0,255,285,293
160,80,0,255,285,302
168,84,0,255,285,302
176,88,0,255,285,314
184,92,0,255,285,314
192,96,0,255,285,322
200,100,0,255,285,328
208,104,0,255,285,338
216,108,0,255,285,345
224,112,0,255,285,352
232,116,0,255,285,361
240,120,0,255,285,371
248,124,0,255,285,380
255,128,0,255,285,380
255,132,0,255,285,389
255,136,0,255,285,389
255,140,0,255,285,399
255,144,0,255,285,399
255,148,0,255,285,411
255,152,0,255,285,411
255,156,0,255,285,419
255,160,0,255,285,419
255,164,0,255,285,428
255,168,0,255,285,428
255,172,0,255,285,438
255,176,0,255,285,448
255,180,0,255,285,448
255,184,0,255,285,462
255,188,0,255,285,462
255,192,0,255,285,477
255,196,0,255,285,477
255,200,0,255,285,488
255,204,0,255,285,501
255,208,0,255,285,512
255,212,0,255,285,512
255,216,0,255,285,530
255,220,0,255,285,542
255,224,0,255,285,542
255,228,0,255,285,553
255,232,0,255,285,570
255,236,0,255,285,587
255,240,0,255,285,599
255,244,0,255,285,612
255,248,0,255,285,625
